"","YEAR","SITE","site_full","count"
"1",2012,"Arroyo Quemado","Arroyo Quemado",38
"2",2012,"Carpinteria","Carpinteria",78
"3",2012,"Isla Vista","Isla Vista",26
"4",2012,"Mohawk Reef","Mohawk Reef",83
"5",2012,"Naples Reef","Naples Reef",6
"6",2013,"Arroyo Quemado","Arroyo Quemado",32
"7",2013,"Carpinteria","Carpinteria",93
"8",2013,"Isla Vista","Isla Vista",40
"9",2013,"Mohawk Reef","Mohawk Reef",15
"10",2013,"Naples Reef","Naples Reef",63
"11",2014,"Arroyo Quemado","Arroyo Quemado",100
"12",2014,"Carpinteria","Carpinteria",79
"13",2014,"Isla Vista","Isla Vista",132
"14",2014,"Mohawk Reef","Mohawk Reef",36
"15",2014,"Naples Reef","Naples Reef",163
"16",2015,"Arroyo Quemado","Arroyo Quemado",83
"17",2015,"Carpinteria","Carpinteria",90
"18",2015,"Isla Vista","Isla Vista",361
"19",2015,"Mohawk Reef","Mohawk Reef",296
"20",2015,"Naples Reef","Naples Reef",270
"21",2016,"Arroyo Quemado","Arroyo Quemado",48
"22",2016,"Carpinteria","Carpinteria",231
"23",2016,"Isla Vista","Isla Vista",193
"24",2016,"Mohawk Reef","Mohawk Reef",210
"25",2016,"Naples Reef","Naples Reef",127
"26",2017,"Arroyo Quemado","Arroyo Quemado",67
"27",2017,"Carpinteria","Carpinteria",705
"28",2017,"Isla Vista","Isla Vista",606
"29",2017,"Mohawk Reef","Mohawk Reef",178
"30",2017,"Naples Reef","Naples Reef",112
"31",2018,"Arroyo Quemado","Arroyo Quemado",54
"32",2018,"Carpinteria","Carpinteria",343
"33",2018,"Isla Vista","Isla Vista",946
"34",2018,"Mohawk Reef","Mohawk Reef",164
"35",2018,"Naples Reef","Naples Reef",298
"36",2019,"Arroyo Quemado","Arroyo Quemado",46
"37",2019,"Carpinteria","Carpinteria",376
"38",2019,"Isla Vista","Isla Vista",522
"39",2019,"Mohawk Reef","Mohawk Reef",170
"40",2019,"Naples Reef","Naples Reef",147
"41",2020,"Arroyo Quemado","Arroyo Quemado",16
"42",2020,"Carpinteria","Carpinteria",438
"43",2020,"Isla Vista","Isla Vista",971
"44",2020,"Mohawk Reef","Mohawk Reef",169
"45",2020,"Naples Reef","Naples Reef",166
